umkm_id,nama,email,password,alamat,telepon,status_verifikasi
1,Mamat,mamat@gmail.com,admin123
2,Udin,udin@gmail.com,admin123
3,Asep,asep@gmail.com,admin123
4,Komat kamit,komat@gmail.com,admin123
5,Vito,vito@gmail.com,admin123
6,Vito,kocak@gmailc.om,admin123
7,Komat,kom@gmail.com,admin123
8,Langga,langga@gmail.com,langga123
9,Kocak,@.,admin123
10,Oke,oke@.,admin123
11,Aduh,aduh@gmail.com,admin123
12,Adih,adih@gmail.com,admin123
13,Aku,aku@gmail.com,admin123
14,Ako,ako@gmail.com,admin123
15,Dhiya,dhiya@gmail.com,Dhiya123
16,Langga,langgan@gmail.com,admin123
17,Aduh,kocak@gmail.com,admin123
18,Po,po@gmail.com,apalahcok
